Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,G+Ap90,G-PKp90,G+A-PKp90,xG,npxG,xA,npxG+xA,xGp90,xAp90,xG+xAp90,npxGp90,npxG+xAp90,Matches
18,Allan\Allan,br BRA,MF,Everton,30-073,1991,16,15,1331,14.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-345,1996,9,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.19,0.07,0.25,0.19,0.25,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-040,1994,25,19,1658,18.4,4,1,4,0,0,1,0,0.22,0.05,0.27,0.22,0.27,2.4,2.4,2.2,4.6,0.13,0.12,0.25,0.13,0.25,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-084,1990,9,8,704,7.8,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,1.1,2.1,0.13,0.14,0.26,0.13,0.26,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-195,1998,12,8,741,8.2,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.6,0.6,0.4,1.0,0.07,0.05,0.12,0.07,0.12,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-091,1994,10,6,587,6.5,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,0.3,0.3,0.0,0.3,0.05,0.00,0.05,0.05,0.05,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-189,2000,22,21,1871,20.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.3,0.02,0.04,0.06,0.02,0.06,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-295,1996,24,24,2131,23.7,1,1,1,0,0,4,1,0.04,0.04,0.08,0.04,0.08,0.6,0.6,0.5,1.0,0.02,0.02,0.04,0.02,0.04,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-136,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-341,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-359,1990,20,18,1511,16.8,7,5,7,0,0,3,0,0.42,0.30,0.71,0.42,0.71,9.2,9.2,2.0,11.2,0.55,0.12,0.67,0.55,0.67,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-023,1993,29,29,2610,29.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-357,1992,24,23,1979,22.0,3,4,3,0,0,3,0,0.14,0.18,0.32,0.14,0.32,2.0,2.0,2.0,4.0,0.09,0.09,0.18,0.09,0.18,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-170,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-277,1989,24,21,1933,21.5,9,1,7,2,2,2,0,0.42,0.05,0.47,0.33,0.37,9.0,7.4,1.6,9.1,0.42,0.08,0.49,0.35,0.42,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-088,1992,14,14,1155,12.8,2,1,2,0,0,0,0,0.16,0.08,0.23,0.16,0.23,1.0,1.0,1.5,2.6,0.08,0.12,0.20,0.08,0.20,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-260,1989,5,0,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
